Age,Gender,Stream,Internships,CGPA,Hostel,HistoryOfBacklogs,PlacedOrNot
22,Male,Electrical,0,8.091871791,0,0,1
21,Female,Computer Science,1,9,1,0,1
21,Male,Mechanical,1,8,0,0,1
22,Male,Mechanical,2,7,1,0,0
23,Male,Information Technology,1,7,1,0,1
20,Male,Electrical,0,8,0,0,1
24,Male,Electronics And Communication,0,7,0,0,0
28,Male,Civil,0,8,1,0,1
22,Male,Information Technology,0,6.903709022,0,0,0
19,Female,Electrical,1,7,0,0,1
22,Male,Civil,1,6,1,0,0
25,Female,Computer Science,1,7.017780401,1,0,1
26,Male,Civil,0,8,1,0,1
20,Male,Electrical,0,8,0,0,1
21,Female,Information Technology,0,6,0,0,0
20,Female,Computer Science,1,6,1,1,1
22,Male,Mechanical,1,8.052501967,1,0,1
20,Male,Computer Science,0,7,0,1,0
22,Female,Electrical,2,7.947874895,0,0,1
22,Male,Mechanical,0,8,1,0,1
22,Male,Information Technology,1,9,0,1,1
21,Male,Computer Science,0,7.004968216,0,0,0
22,Male,Computer Science,0,7,0,0,0
19,Male,Computer Science,0,7,0,0,0
20,Male,Electronics And Communication,0,6,0,0,0
24,Male,Information Technology,3,6.924811281,0,0,1
21,Female,Information Technology,0,6.001844811,0,0,1
20,Male,Computer Science,2,7,0,0,1
26,Female,Information Technology,1,5.91456079,0,0,1
20,Male,Information Technology,1,7,1,0,0
21,Male,Computer Science,0,8,0,1,1
21,Female,Information Technology,2,9.078199022,0,0,1
22,Male,Electrical,0,6.059125615,0,1,0
20,Male,Electronics And Communication,3,8,1,1,1
21,Female,Electrical,0,7,0,0,0
19,Male,Electronics And Communication,1,7,0,0,1
23,Female,Computer Science,0,6,1,0,0
21,Male,Computer Science,2,6.031432804,0,0,1
22,Male,Computer Science,0,6,0,1,0
19,Male,Information Technology,0,8,0,0,1
21,Male,Civil,0,5.903552811,0,0,0
22,Male,Information Technology,2,6,0,0,1
21,Male,Information Technology,0,8,0,0,1
21,Male,Information Technology,2,5.989460844,1,0,1
21,Male,Computer Science,0,8,0,0,1
22,Male,Information Technology,3,8,0,0,1
21,Male,Computer Science,0,6,0,1,0
23,Male,Information Technology,1,8,1,0,1
21,Male,Electrical,1,6.984552653,0,0,1
21,Male,Information Technology,1,6.08227779,1,0,0
21,Male,Computer Science,1,8,0,0,1
21,Male,Mechanical,1,4.989745415,1,0,0
21,Male,Mechanical,0,7.074933571,1,0,0
21,Male,Electrical,0,8,0,0,1
22,Male,Civil,0,5.969056936,0,0,0
21,Male,Computer Science,1,9,0,0,1
22,Male,Information Technology,1,6.091859536,1,0,0
21,Male,Electronics And Communication,0,9,0,0,1
24,Male,Electrical,1,7,0,0,1
21,Male,Civil,0,7,0,0,0
22,Male,Electronics And Communication,1,8,0,0,1
21,Male,Information Technology,0,7.968026763,0,1,1
22,Male,Computer Science,1,8.992745366,0,0,1
21,Female,Electronics And Communication,1,6.932376282,0,0,1
20,Male,Computer Science,1,8,0,0,1
21,Male,Information Technology,0,7,0,1,0
22,Female,Civil,1,6.049466981,0,1,0
24,Male,Computer Science,1,7.057571107,0,0,1
21,Male,Electrical,0,7,0,0,0
21,Male,Computer Science,1,7,0,0,0
22,Male,Information Technology,0,8,0,0,1
24,Male,Computer Science,0,7,0,1,1
20,Male,Computer Science,3,7.076383826,0,1,0
22,Male,Information Technology,0,8.039885873,0,0,1
22,Male,Computer Science,2,7,0,0,1
20,Male,Information Technology,1,7,0,0,0
20,Male,Information Technology,0,8,0,0,1
22,Male,Electronics And Communication,2,8,0,0,1
22,Male,Mechanical,0,7.954790672,1,1,1
26,Female,Civil,1,6,0,1,1
24,Female,Computer Science,1,7,1,0,1
22,Male,Computer Science,2,6.976813637,0,0,1
21,Male,Computer Science,1,6,0,0,0
19,Male,Mechanical,1,8,1,0,1
21,Male,Civil,0,6,0,0,0
21,Female,Information Technology,0,8.002311216,0,0,1
21,Male,Civil,0,7,1,0,1
21,Male,Electronics And Communication,1,6,1,1,1
24,Male,Computer Science,0,6,0,0,1
21,Male,Computer Science,1,6,0,0,0
20,Female,Electronics And Communication,0,8,0,0,1
24,Male,Electrical,1,7,0,0,1
22,Male,Computer Science,2,6.041662755,0,0,1
21,Male,Civil,1,7.999102288,0,1,1
20,Male,Civil,0,6,1,1,0
24,Male,Information Technology,1,6,0,0,1
22,Female,Computer Science,1,7,1,0,1
21,Male,Mechanical,0,9,1,0,1
19,Female,Electrical,0,7,0,0,0
22,Male,Information Technology,0,6,0,0,0
22,Male,Electronics And Communication,2,8.05940316,0,0,1
21,Male,Electronics And Communication,0,8,0,1,1
19,Female,Electrical,1,7,0,0,1
21,Male,Civil,0,6.901522766,0,0,0
23,Male,Mechanical,0,5,1,1,0
22,Male,Mechanical,0,7.026507981,1,0,0
22,Male,Electronics And Communication,0,9,0,0,1
21,Male,Information Technology,1,8,0,0,1
21,Male,Information Technology,1,8,0,0,1
22,Male,Computer Science,2,6,0,0,1
20,Male,Electronics And Communication,0,8,0,0,1
26,Male,Civil,0,6.087751832,0,0,1
21,Male,Computer Science,1,6,0,0,0
22,Male,Mechanical,0,6,1,0,0
21,Male,Information Technology,1,6,1,0,0
21,Male,Electronics And Communication,0,8,0,0,1
22,Male,Electrical,1,5.968238592,1,1,0
21,Male,Computer Science,0,8,0,1,1
20,Male,Information Technology,0,8,0,0,1
21,Male,Computer Science,0,8,0,0,1
21,Male,Electronics And Communication,0,8,0,0,1
21,Male,Computer Science,1,7.925556788,0,0,1
20,Female,Computer Science,0,7,1,0,0
19,Male,Computer Science,0,8,0,0,1
21,Male,Electronics And Communication,1,7,0,1,0
23,Male,Electrical,1,8,0,0,1
22,Male,Information Technology,1,6.074140749,0,0,1
22,Male,Information Technology,1,4.921832108,0,0,0
20,Female,Electronics And Communication,0,8.004788776,0,0,1
22,Male,Computer Science,1,8.991518143,0,0,1
23,Male,Information Technology,0,6,0,0,0
21,Male,Computer Science,0,7,0,0,0
22,Male,Information Technology,0,8.077595296,0,0,1
22,Male,Computer Science,0,7,0,1,0
24,Male,Computer Science,1,6.944254298,0,0,1
20,Male,Civil,0,9,0,0,1
22,Male,Information Technology,0,8,0,0,1
20,Female,Information Technology,1,5.986208965,0,0,0
21,Female,Electronics And Communication,0,6,0,0,0
22,Male,Electrical,0,8,0,0,1
22,Male,Civil,0,7,0,0,0
22,Male,Information Technology,1,7,0,0,1
21,Male,Electrical,0,6,0,0,0
21,Male,Mechanical,0,8,1,0,1
21,Male,Information Technology,2,7.016137151,0,1,1
22,Female,Information Technology,3,7,1,1,0
20,Male,Computer Science,0,6,0,0,0
26,Female,Information Technology,1,6,0,0,1
21,Male,Electronics And Communication,0,8.099286429,0,0,1
22,Male,Mechanical,0,6,1,0,1
21,Male,Mechanical,0,8,1,0,1
22,Male,Information Technology,0,7,0,0,0
19,Male,Computer Science,0,8,0,0,1
21,Female,Electronics And Communication,0,9,0,0,1
23,Male,Mechanical,0,8.903709857,1,1,1
19,Male,Electronics And Communication,0,8,0,0,1
20,Male,Computer Science,2,5.010490156,0,0,0
25,Male,Computer Science,1,8.003462577,0,0,1
23,Male,Information Technology,1,7,0,0,0
21,Male,Civil,1,8,0,0,1
20,Male,Computer Science,1,8,0,0,1
21,Male,Information Technology,0,7,0,0,0
21,Female,Electronics And Communication,1,8,1,1,1
21,Male,Mechanical,1,7,0,0,0
22,Male,Information Technology,0,6,0,0,0
21,Female,Information Technology,0,6,0,0,1
22,Male,Computer Science,1,7.014991232,0,0,0
23,Male,Information Technology,1,8,0,0,1
21,Male,Electronics And Communication,0,8.09617737,0,0,1
22,Male,Computer Science,0,7,0,0,0
21,Male,Computer Science,0,7,0,0,0
21,Male,Computer Science,0,6.986391174,0,1,0
21,Male,Mechanical,0,7.945961278,1,0,1
21,Female,Computer Science,0,7.033592327,1,0,0
21,Male,Information Technology,0,7,0,0,0
26,Male,Civil,0,8.966036221,0,0,1
19,Male,Civil,0,6,1,0,0
22,Female,Computer Science,1,6.924896083,1,0,0
20,Female,Mechanical,1,7,0,0,0
20,Male,Electrical,0,9,0,1,1
19,Male,Electrical,0,6,0,0,0
21,Male,Information Technology,3,9,1,0,1
22,Male,Electrical,0,9,0,0,1
22,Male,Electronics And Communication,0,6,0,0,0
22,Male,Electrical,0,8,0,0,1
23,Male,Computer Science,0,6,0,0,1
21,Male,Mechanical,1,7,1,0,0
21,Male,Electrical,1,8,0,1,1
21,Male,Electronics And Communication,0,9,0,0,1
23,Male,Information Technology,1,8,0,0,1
22,Male,Information Technology,0,7.086357019,0,0,1
20,Male,Computer Science,0,7,0,1,0
21,Male,Electronics And Communication,1,6.957339653,0,1,1
22,Male,Information Technology,2,6,0,0,1
21,Male,Electrical,0,8.046872524,0,0,1
20,Male,Computer Science,1,8,0,0,1
22,Male,Mechanical,1,9,1,0,1
21,Female,Computer Science,1,6,1,0,0
22,Male,Computer Science,0,6,0,0,1
19,Male,Civil,0,7,1,0,0
21,Female,Computer Science,2,9,1,1,1
21,Male,Civil,0,6,0,0,0
20,Male,Information Technology,1,7,0,0,0
22,Male,Information Technology,0,8.092714037,0,0,1
21,Male,Computer Science,1,7,0,0,1
19,Female,Mechanical,1,6,1,0,0
22,Male,Electronics And Communication,0,8.018501096,0,0,1
22,Male,Mechanical,0,8.946489617,1,0,1
19,Male,Information Technology,1,7,1,0,0
21,Male,Information Technology,1,8,0,1,1
21,Male,Computer Science,0,8,0,0,1
22,Male,Electrical,1,5.935891157,0,0,0
21,Male,Electrical,0,8,0,0,1
21,Male,Electronics And Communication,1,8,0,1,1
22,Male,Electronics And Communication,1,6.011370152,0,0,0
22,Male,Electronics And Communication,1,8.099644494,0,0,1
24,Male,Information Technology,0,6,0,0,1
22,Male,Civil,0,7,1,1,0
22,Female,Electrical,1,7,0,1,0
22,Female,Civil,1,6,0,0,0
21,Female,Information Technology,0,7.93157105,0,1,1
21,Male,Information Technology,1,5.918140035,0,0,0
22,Male,Information Technology,0,8,0,0,1
21,Female,Information Technology,0,6.974704221,0,0,0
21,Male,Mechanical,0,7,1,1,0
22,Male,Electronics And Communication,2,7,0,1,0
23,Male,Electronics And Communication,0,6,0,0,0
21,Male,Mechanical,1,9,1,1,1
22,Male,Civil,1,7,0,0,0
24,Male,Computer Science,2,6.058748879,0,0,1
21,Male,Information Technology,1,8.096870652,0,1,1
22,Male,Information Technology,1,7.006812042,0,0,0
21,Male,Electronics And Communication,1,8,1,1,1
20,Male,Computer Science,1,6,0,0,0
22,Female,Computer Science,0,6,1,0,0
21,Male,Civil,1,7,0,0,0
21,Male,Electrical,2,5.929108546,0,0,1
20,Female,Computer Science,0,7,1,0,0
21,Male,Civil,0,7,1,0,0
21,Male,Electrical,0,7,0,0,0
20,Male,Civil,1,6,0,0,0
22,Male,Computer Science,0,7.954707023,0,0,1
20,Male,Computer Science,2,7,0,1,1
22,Male,Electronics And Communication,0,8,0,1,1
21,Male,Computer Science,1,9,0,0,1
24,Male,Information Technology,1,7.021341842,0,0,1
19,Female,Electronics And Communication,0,6,0,0,0
21,Female,Information Technology,0,6,0,0,0
21,Male,Electrical,0,7,0,0,0
24,Male,Mechanical,0,5.995125909,1,0,1
23,Male,Electronics And Communication,0,7,0,0,0
21,Male,Mechanical,0,6,1,0,0
20,Male,Electrical,1,7,0,0,1
22,Male,Information Technology,0,5.980452246,0,1,1
22,Male,Mechanical,0,8.911542917,1,0,1
21,Male,Computer Science,2,7.020967327,0,0,1
21,Male,Information Technology,2,7,0,1,0
20,Male,Civil,2,9,0,0,1
20,Male,Mechanical,0,6,1,1,0
19,Male,Civil,2,6,1,0,1
22,Male,Mechanical,0,7,1,0,0
20,Male,Electronics And Communication,0,6,0,0,0
22,Female,Mechanical,1,6,1,0,0
22,Male,Information Technology,1,9,0,1,1
22,Female,Computer Science,2,7.928848925,1,0,1
25,Male,Computer Science,2,7,0,1,1
19,Male,Computer Science,1,8,0,0,1
22,Female,Information Technology,0,8,0,0,1
22,Male,Computer Science,1,8.015247595,0,1,1
23,Male,Information Technology,2,6.973885516,0,0,1
19,Male,Civil,0,8,0,1,1
20,Male,Electrical,0,5,0,0,0
22,Male,Information Technology,1,8,1,0,1
21,Male,Information Technology,1,7,1,0,0
22,Male,Electrical,0,7,1,0,0
21,Female,Computer Science,1,6,1,0,0
22,Male,Mechanical,0,6,1,0,0
22,Female,Electronics And Communication,0,6,0,0,0
22,Male,Information Technology,0,7,0,0,0
22,Male,Information Technology,2,7,0,0,0
22,Male,Information Technology,0,7,0,0,0
21,Male,Computer Science,1,8,0,0,1
